EventType,Corresponding Frame(s),FrameNetDefinitions,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity
Recording,Recording,"[Recording] An Agent sets down in permanent form information about the occurrence of a Phenomenon. Alternatively, the Agent records that an Entity had a particular Value for one of its Attributes.  'While visiting in Port Alberni, the day before he was diagnosed, we recorded him to have 14 drinks and go to the bathroom 10 times.'  'William Hickey's death is not recorded. CNI'  'The voter turnout was recorded as over 90 percent. CNI' '...... voter'  'A number of US expressions of alarm presented during those weeks to the Israeli government were registered in the premier's diary. CNI'",An event where an Agent permanently captures information about a Phenomenon or an Entity’s Attribute for future reference.,cumulative,anti-homeomeric,durative,agentive
Reforming a system,Reforming a system,"[Reforming_a_system] Because it no longer functions adequately under the given circumstances, an Agent (or non-Agentive Cause) undertakes steps to change the structural makeup of a complex Entity with interdependent parts, for instance an institution or a system of laws. The Degree of change is typically gradual and partial rather than revolutionary and total. Note that with some LUs the Entity can be unexpressed when it is identical to the Agent.  'They want to reform the law on Sunday trading.' 'At the same time , the government reformed the rating system as it applied to companies.'  'This study investigates how and why the majority of large Slovak companies restructured without the help of foreign investors or a government. DNI'","An Agent or Cause initiates changes to the structure or organization of a complex Entity (such as a system or institution) in order to improve its functioning under changed circumstances, usually through gradual and partial modifications rather than complete replacement.",anti-cumulative,anti-homeomeric,durative,agentive
Recovering,Rejuvenation,"[Rejuvenation] The action of an Agent or the occurrence of a Cause event returns an Entity to an earlier  state of vigor and strength.  'Falling prices and wireless connectivity have breathed new life into the PDA market. '   'While Paul Reubens resuscitates his career, Pee-wee fans use the Web to keep the 'adventure' alive.'   'Athens' democracy was unexpectedly reinvigorated by its great defeat.'","An event where an Agent or a Cause restores an Entity to a previous state of greater vitality, strength, or effectiveness.",cumulative,anti-homeomeric,durative,non-agentive
Releasing,"Releasing from custody, Bail decision, Releasing, Freeing from confinement, Breaking out captive","[Releasing_from_custody] The Authorities release a Suspect who has been held under suspicion of having committed a crime.
[Bail_decision] This frame covers a step in a criminal process in which a  Judge decides whether the Accused should be released on bail, and, if so, what the amount of the bail should be.  '' 'Thorsen, of Grimstad, Norway, was granted $100,000 bail until June 18.'  'He was granted conditional bail by Teesside Magistrates.'
[Releasing] A Captor ends the captivity or inhibition of the motion of a Theme from the Location_of_confinement. The release is in accord with the plans of the Captor.  'They released me from prison on New Year's Day.'
[Freeing_from_confinement] An Agent causes a Theme which was held captive to be free from a Location_of_confinement, against the wishes of the captors.  'Two men disguised as guards sprung a convicted killer from prison last night.'
[Breaking_out_captive] An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor.  'His accomplice freed him from Sing Sing prison thanks to his disguise.' ","An event where an Authority or Agent causes a confined or restricted Entity to regain freedom of movement, either lawfully or against the will of prior captors.",anti-cumulative,homeomeric,atomic,agentive
Removing,"Removing, Removing scenario","[Removing] An Agent causes a Theme to move away from a location, the Source.  The Sourceis profiled by the words in this frame, just as the Goal is profiled in the Placing frame.  'I saw that several men in dark suits had removed all of the evidence from the scene.' 'With your index finger prise the meat out of the shell' 'The torrential winds dislodged most of the roof tiles.'
[Removing_scenario] The abstract scene in which an Agent affects a Source and a Theme so that the Theme ends up not co-located with the Source.","An event where an Agent causes an Entity (Theme) to move away from its original Location (Source), resulting in their separation.",anti-cumulative,homeomeric,atomic,agentive
Renting,Renting,[Renting] A Lessee gains the use of Goods owned by a Lessor by payment to the Lessor.  'We are renting our apartment from a kind man named Tom.',An event where a Lessee obtains temporary usage rights to Goods owned by a Lessor in exchange for payment.,cumulative,homeomeric,durative,agentive
Reporting,Reporting,[Reporting] In this frame an Informer informs the Authorities of the illegal or otherwise improper Behavior of the Wrongdoer. ' Tony reported Michael to the police for breaking into his car. ' ' The teacher reported the bathroom vandalism. DNI ',An event where an Informer communicates information about a Wrongdoer's improper or illegal behavior to the relevant Authorities.,anti-cumulative,anti-homeomeric,durative,agentive
Expressing publicly ,Request,"[Request] In this frame a Speaker asks an Addressee for something, or to carry out some action.  'The customer demanded a refund.' 'I begged my parents to let me stay up late.' ",A Speaker communicates a desire or need for an Addressee to provide something or to perform a certain action.,cumulative,anti-homeomeric,durative,agentive
Rescuing,Rescuing,[Rescuing] An Agent saves a Patient or an Asset from a Harmful_situation.   'Israeli commandos rescued the hostages and left.'   'His German shepherd saved him from drowing once.'  'She saved my life on the bridge yesterday.',"An event where an Agent intervenes to save a Patient or an Asset from a Harmful Situation, preventing or mitigating negative outcomes.",anti-cumulative,anti-homeomeric,durative,agentive
Resolve problem,Resolve problem,"[Resolve_problem] An Agent resolves an outstanding Problem by finding its solution, explanation, answer, etc.  Alternatively, some non-agentive Cause may resolve the Problem.  The Means, Degree, Time and Place may also be expressed.  'As it turns out, putting all of my eggs in one basket completely solved all of my problems.' 'Students finally worked through all of the difficult problems by working together.'","A problem is solved, either through an agent’s deliberate action or by some non-agentive cause.",anti-cumulative,anti-homeomeric,atomic,non-agentive
Response,"Response, Respond to proposal,
Response scenario","[Response] An Agent performs a Response action in consequence of a Trigger event. In many cases, a non-agentive Responding_entity causes the Response after the Trigger occurs.  'I respond to earthquakes by hiding under my desk.'
[Respond_to_proposal] A Speaker addresses a Proposal made by an Interlocutor, either agreeing to it or rejecting it. Agreeing entails a social responsibility on the Speaker to bring about some state of affairs encoded in the Proposal.  'They were rebuffed again in the larger city of Provo. CNI '  'Last month Mr Duisenberg delivered a sharp rebuff to Mr Welteke. '  'He rebuffed Singh's every overture,  relentlessly pursuing a cap on India's nuclear capability.'
[Response_scenario] A Trigger elicits a Response by some Responding_entity or an Agent.  ",An event where an Agent or Responding Entity performs an action as a consequence of a preceding Trigger event or Proposal.,anti-cumulative,anti-homeomeric,durative,agentive
Reveal secret,Reveal secret,"[Reveal_secret] A Speaker reveals Information that was previously secret to an Addressee. In some cases, the Addressee is expected to keep the Information from other parties. The Information may be damaging to the reputation of the Speaker. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a Topic may be stated instead of Information. Some lexical units in this frame imply that the Addressee has already been confronted with the Information.    'Could it be true that Martin himself was the one who spilled the beans on Pops and Brad's planned wedding? '  ","An event where a Speaker discloses previously hidden or confidential Information to an Addressee, making it accessible or known.",anti-cumulative,homeomeric,atomic,agentive
Revenge,Revenge,"[Revenge] This frame concerns the infliction of punishment in return for a wrong suffered. An Avenger performs a Punishment on a Offender as a consequence of an earlier action by the Offender, the Injury. The Avenger inflicting thePunishment need not be the same as the Injured_Party who suffered the Injury,  but the Avenger does have to share the judgment that the Offender's action was wrong. The judgment that the Offender had inflicted an Injury  is made without regard to the law.  '(1) They took revenge for the deaths of two loyalist prisoners.' '(2) Lachlan went out to avenge them.' '(3) The next day, the Roman forces took revenge on their enemies..'","An agent deliberately inflicts punishment on an offender in response to a perceived past wrongdoing, based on personal or collective judgment rather than formal law.
",anti-cumulative,anti-homeomeric,durative,agentive
Rite,Rite,"[Rite] This frame concerns rituals performed in line with religious beliefs or tradition.  'In certain fertility rites in Burma , a woman desirous of offspring is required not only to approach the King Cobra but to plant a kiss on its mouth .'  'He was ordered a priest in 1944. CNI '","An event or activity where individuals perform ritualistic actions following religious, spiritual, or traditional beliefs.",anti-cumulative,anti-homeomeric,durative,agentive
Robbery ,Robbery,"[Robbery] These are words describing situations in which a Perpetrator wrongs a Victim by taking something (Goods) from them.  In some cases, the Source location from which the Goods were taken is used to metonymically refer to the Victim.  The robbery can be done in a particular Manner (for example, forcefully) and via a specific Means (for example, by threatening the Victim).  'Half of the team held up the tellers while the others were stationed to report the arrival of police.'  As opposed to Theft, Robbery focuses on the harm to the Victim and on the Source location from which the Goods have been removed, rather than the Goods themselves.","An event where a Perpetrator wrongs a Victim by forcefully or threateningly taking Goods from them, emphasizing harm to the Victim and the removal of Goods from a Source location.",anti-cumulative,anti-homeomeric,durative,agentive
Scouring,Scouring,"[Scouring] A Searcher looks all over a Ground in order to find a Sought_entity. The Sought_entity is not presupposed to exist. The search activity is not concerned with the state of the Ground, which is the case in the Inspecting frame, but only with the finding of the Sought_entity, which is desirable.   'The newcomers combed the area looking for minerals' 'Scientists scoured the ice samples  for signs of life. ' 'Mulder rummaged through his toilet kit for a plastic razor.'",An event where a Searcher thoroughly examines a Ground in an effort to locate a potentially existing Sought_entity.,cumulative,anti-homeomeric,durative,agentive
Self motion,Self motion,"[Self_motion] The Self_mover, a living being, moves under its own direction along a Path. Alternatively or in addition to Path, an Area, Direction, Source, or Goal for the movement may be mentioned.   'She walked along the road for a while.'  Many of the lexical units in this frame can also describe the motion of vehicles (e.g., as external arguments). We treat these as belonging in this frame.   'The cars scooted slowly towards the intersection.'  Self_motion most prototypically involves individuals moving under their own power by means of their bodies. Many words also specify the manner of motion (swim, walk). This frame contains mostly words that fit this prototypical scenario, but the frame itself does not specify whether a separate vehicle is impossible, necessary, or unspecified. Lexical units that involve separate vehicles are associated with FEs that are not appropriate for the more general case of motion, so they are placed in the Operate_vehicle or Ride_vehicle frames (e.g., He drove across the country, She flew to Europe).","An event where a living being or entity initiates and controls its own movement along a path, toward a goal, or within an area, using its own means of locomotion.",cumulative,anti-homeomeric,durative,agentive
Sending,"Sending, Delivery, Product delivery, Transfer","[Sending] A Sender plans the Path (along with Source and Goal) of a Theme and places it in circumstances such that it travels along this Path under the power of some entity other than the Sender.  This frame also has a Recipient distinct from the Goal, as both can be present: 'I sent the manuscript to England to Bill.' 'I forwarded the grain to a dealer in Frankfurt.'  This frame contains verbs that participate in the ditransitive construction, with a recipient as the direct object, as in the following: 'I sent Bill the manuscript.' Certain Verbs in this Frame focus on the initial sending act, while others do not.  For example, I sent it rapidly can either mean the act of sending was initiated quickly or that it moved quickly. However, the in following sentence: I exported/dispatched it rapidly, meaning that the act was begun quickly, both types of verbs are included.
[Delivery] A Deliverer hands off a Theme to a Recipient or (more indirectly) a Goal location, which is accessible to the Recipient.    'The staff of Ebags delivered the umbrella well ahead of schedule.'  'In each class a dove flew in and delivered a red rose to Ginny.'  'The Pontifical Delegation for the delivery of the Icon of the Kazan Mother of God will arrive tomorrow. '
[Product_delivery] In order to facilitate the purchase of Goods which start off in a location distant from a Purchaser, a Deliverer transports and hands off the Goods to a Purchaser or (more indirectly) a Goal location which is accessible to the Purchaser.  
[Transfer] This frame involves a Donor transferring a Theme to a Recipient.  'I transferred $20 to his account.'","An agent causes a theme to move from a source to a goal, transferring possession or accessibility to a recipient.",cumulative,anti-homeomeric,durative,agentive
Commerce buy,"Shopping, Commerce buy","[Shopping] A Shopper looks for Goods in order to purchase them.  'She shopped for a new hat.'
[Commerce_buy] These are words describing a basic commercial transaction involving a Buyer and a Seller exchanging Money and Goods, taking the perspective of the Buyer.  The words vary individually in the patterns of frame element realization they allow.  For example, the typical pattern for the verb BUY: Buyer buys Goods from Seller for Money. '' 'Abby bought a car from Robin for $5,000.'","An event where a Buyer or Shopper seeks or obtains Goods through a commercial transaction, typically involving the exchange of Money with a Seller.",anti-cumulative,homeomeric,atomic,agentive
Sign agreement,Sign agreement,"[Sign_agreement] A Signatory signs an Agreement document, thereby taking on a commitment encoded in the Agreement.  '. During this time, 84 countries (including the United States) signed the Protocol.' ",An event where a Signatory formally accepts and commits to the terms of an Agreement by signing a document.,anti-cumulative,homeomeric,atomic,agentive
Social event,"Social event individuals, Social event collective, Social event","[Social_event_individuals] This frames describes a social event where there may or may not be a permanent or semi-permanent relationship between participants. Additionally, participants in this frame are expressed separately, as Party_1 and Party_2.  Note the difference between this frame and Social_event_collective, where participants are grouped into one collective grammatical constituent and FE.  'I went out with him on Friday.'
[Social_event_collective] This frames describes a social event where there may or may not be a permanent or semi-permanent relationship between participants. Additionally, participants in this frame are expressed in one representative FE, Attendees.  Note the difference between this frame and Social_event_individuals, where participants are grammatically separated.  'Our date yesterday was interrupted by my ex-boyfriend!'
[Social_event] A Social_event occurs at which Attendees are present to conduct a social function or joint activity.  The Social_event is often a party or celebration, in which case it is possible to express someone who is being honored (the Honoree) or its function may be to celebrate an Occasion at which Attendees are present. Often, a specific Attendee, the Host, provides a venue for people to gather.  'Sue threw a party for Bob's birthday.'  'Who will host the Olympic games in eight years?'","An event where individuals or groups gather to engage in social interaction, either as separate participants or as a collective, often centered around a specific function, celebration, or shared purpose.",anti-cumulative,anti-homeomeric,durative,agentive
Connect,"Spatial contact, Attaching","[Spatial_contact] A Figure is located in contact with a Ground.  With some words that evoke this frame, the Figure is also asserted to be fully or partially supported by the Ground (e.g. on), while in others a support relation is either denied (e.g. to, as in ""she put her hand to the wall"") or unspecified (e.g. against).  In addition, some LUs assert a direction in which to find the Figure from the Ground (e.g. atop).  'There was a tight-fitting lid on the bottle .' 'Against the back wall stood a young black man staring at his shoes .' 'Against the back wall three students were reading .' 'Clean if the jewelery is ever in contact with water or chlorine .'  This frame participates in productive metaphor cases, like ""shining a light on corruption"", ""Stalin's hand lay heavy on the presses"", ""it touched her heart"" in each of which an abstract entity affects another entity as if they were in physical contact. ''  This frame is intended to cover the description of writing, images, or situations being depicted on a document, canvas, screen, or other flat surface, including metaphorical cases where there is no literal document, like ""on record"" or ""pretty low on my list"". 'They were arguing on screen .' 'Watching chess is pretty low on my list .'  The use of on.prep to describe use of a vehicle is not included in this frame even though it does involve contact and support. The sense distinction is proven by the omissability of the Ground only in the vehicle cases: 'She is already on (the bus/the ship...) .' 'My paper is on *(the desk) .' This use is related to Ride_vehicle.  A similar argument holds for uses of on.prep with a clothing Figure, which virtually always omits the Ground; see Wearing. ''  The use of on.prep and upon.prep for Topics is considered a non-productive metaphor (see Topic).  No other target in the frame allows the use, nor is is correlated with other language of the source domain of contact (e.g. stand, sit, lie, put, rest). 
[Attaching] The Attaching frame covers two situations: a scene in which somebody causes one thing to be physically connected to something else; or a scene in which somebody causes two things to be connected to each other.  In the first, the frame includes an Agent who attaches an Item to a Goal by manipulating a Connector, creating an asymmetric relationship between the Item and the Goal.  In the second, the Agent attaches two Items to each other, where each serves as a Goal for the other, creating a symmetric relationship between the two Items. In both cases, the  Connector remains to bind the two entities (either Item and Goal, or two Items), without creating a new entity.  'The robber tied Harry to the chair.'  'Make sure you bind his wrists as tightly as possible.'","An event or state where a Figure entity is in physical or metaphorical contact with a Ground entity, with or without support, and possibly involving attachment through a connector or maintained positioning.",cumulative,homeomeric,durative,non-agentive
Expressing publicly ,"Speak on topic, Expressing publicly","[Speak_on_topic] A Speaker addresses an Audience on a particular Topic.  The Audience is generally passive, although for many types of address (including academic talks and press conferences), a discussion or question-answer period is virtually always required.  'McNamara addressed congress on the state of affairs of the Department of Defense.'
[Expressing_publicly] A Communicator publically communicates some difficult-to-express Content which they (or a social group of which they are a member) have had for some time. The Content may not have been previously communicated due to inability or social stricture.  In cases where the individuals addressed are a smaller group than the public at large, a separate Addressee may be expressed.  'Those grievances can be aired during Board meetings. CNI'  'Saddam voiced his joy when he was told Spain's new government had left the US-led military coalition in Iraq.'   ","An event where a Speaker or Communicator addresses an Audience by sharing a Topic or previously unexpressed Content, typically in a formal or public setting.",anti-cumulative,anti-homeomeric,durative,agentive
Statement,"Statement, Claim ownership","[Statement] This frame contains verbs and nouns that communicate the act of a Speaker to address a Message to some Addressee using language. Instead of (or in addition to) a Speaker, a Medium may also be mentioned. Likewise, a Topic may be stated instead of a Message. A number of the words can be used performatively, such as declare and insist.  'I now declare you members of this Society.'   'She said that I would be late .'  'The announcement about raffle winners came across the loudspeaker.' 
[Claim_ownership] A Claimant asserts his or her right to possession of a piece of Property (either real, such as land, or private).  The Claimant may be acting on the behalf of a Beneficiary. 'The King claims this land and surrounding waters.' 'Hoping to strike it rich, Thaddeus Gulch staked his claim by the river bed.' 'I <supp>have</supp> dibs on the last piece of cake.'","An event where a Speaker communicates information or asserts ownership over something, typically using language or symbolic acts directed toward an audience.",anti-cumulative,anti-homeomeric,durative,agentive
Convincing,"Suasion, Attempt suasion","[Suasion] A Speaker succeeds in getting an Addressee to believe or plan to execute the Content the Speaker has in mind. In most cases, the information is related to some course of action for the Addressee, and the words of this frame imply that the Addressee has formed an intention to act consistently with the Content. There is no implication that the Addressee actually acts upon the intention formed. In the case of convince and persuade, the act that the Speaker wishes the Addressee to perform can be the adoption of a belief, which may be expressed as a that-clause or as an of-PP complement.  This frame differs from Attempt_suasion in that in Suasion, the Addressee has changed their mind in accord with the Speaker's wishes, whereas in Attempt_suasion, the only implication is that the Speaker communicates with the intent of changing the mind of the Addressee.   This Frame has unique Frame-to-Frame Relations: it inherits from and uses the Eventive_cognizer_affecting frame. This is atypical of FrameNet's frame relations.  '' 'At one point, Walter tries to convince his wife that he has had a story accepted by BBC Radio.'  'They invaded the bridge, but were dissuaded from further action by the captain.'
[Attempt_suasion] The  Speaker expresses through language his wish to get the Addressee to act in some way that will help to bring about events or states described in the Content. There is no implication that the Addressee forms an intention to act, let alone acts.     'Mr Smithers always encourages the employees to stay late and work harder.'  'Dennis Rodman advises moderation in all things. INI'  The Content most prototypically refers to an action that the Addressee will carry out themselves, but may (in the case of valences with a non-finite Content clause) merely refer to a situation that they have indirect influence over, as in the following  'When I talked to her, I suggested that he be removed from office . DNI '","An event where a Speaker attempts to influence an Addressee to adopt a belief, form an intention, or agree to a course of action, whether or not the Addressee ultimately acts on it.",anti-cumulative,anti-homeomeric,durative,agentive
Submitting documents,Submitting documents,"[Submitting_documents] A Submittor gives Documents to an Authority so that they can be processed as part of an application, evaluation or other official or bureaucratic process.   'I  was sure I had passed as soon as I handed in the test. DNI'  'She stated that she turned in the paperwork yesterday.'  'After the applicant's submission to the department, the department chairperson must evaluate.'  'I acknowledge my submission of the Material to you shall not lead to a concurrent review by any of your affiliate and subsidiary channels.'","An individual provides documents to an authority for official evaluation, processing, or consideration.",anti-cumulative,homeomeric,atomic,agentive
Supply,Supply,"[Supply] A Supplier gives a Theme to a Recipient to fulfill a need or purpose (Imposed_purpose) of the Recipient.   'Habituating the ground nesting chimp groups is done by provisioning them with sugar cane. CNI INI'  'I have equipped my leech troopers with tiny subspace displacement thingummies. INI'   ' She sat down on her bed, carefully folding her clothing and packing it into the small carryall Starfleet had provided her for the journey.'",An event where a Supplier provides something (a Theme) to a Recipient to meet a specific need or serve a particular purpose.,cumulative,anti-homeomeric,durative,agentive
Supporting,Supporting,[Supporting] A Supporter assists to strengthen the Supported by lending itself in material aid (or abstract assistance in the case of metaphorical uses).   'The bottom of the wall is supported by the foundation.'  'Many legislators have supported the industry in the past.'  'The revetment layers buttressed the mud-mortared cobblestone core wall.'  'Online gambling can bolster the US economy.',"An event where a Supporter provides material or abstract aid to reinforce, uphold, or strengthen the Supported entity.",cumulative,anti-homeomeric,durative,agentive
Surrendering,"Surrendering, Surrendering possession","[Surrendering] In this frame a Fugitive presents himself or herself to the Authorities to be subject to the criminal process. ' The bank robber surrendered to Berkeley police. ' ' Norte is expected to surrender to police tomorrow on tax fraud charges . '
[Surrendering_possession] A Surrenderer is compelled to transfer a Theme to a Recipient.  'Shortly after the boy surrendered the gun, the three remaining warriors made a rush for liberty.'  'He finally surrendered the item after cops and Secret Service agents showed up at his home Saturday.'  'D?Augustino yielded the weapon to Herrick.'",An event where an individual or entity willingly or under compulsion relinquishes themselves or a possession to an authority or recipient.,anti-cumulative,homeomeric,atomic,agentive
Surrounding,Surrounding,"[Surrounding] A Figure surrounds a Ground.  The Ground location is presented as more likely to be a known location than the location of the Figure. Some lexical units entail more-or-less complete surrounding in two or three dimensions (e.g. surround.v), while others entail surrounding on only two sides (e.g. astride.prep, straddle.v).  Like other locative relations, the Figure may be any of a movable entity, an immovable entity, or an event.  'The hand around the sword-hilt was no less impressive than the sword .' 'The drug war straddles the border of the US and Mexico .'  This frame resembles the Adorning frame, in that both involve a Figure ""covering"" some Ground, but the Surrounding frame differs in that the Profiled_region is not coextensive with the Ground, as it is in the Adorning frame, and, in fact, unusually for a locative relation, the Ground entity is normally smaller than the Figure.  For this reason, the verbs of this frame are often used in the passive (restoring the normal relationship of stative subjects to oblique elements). '' In addition to several lexical units of this frame originating as metaphorical extentions of much more specific posture descriptions (straddle.v, astride.prep), this frame is itself used in a productive metaphor, involving abstract entities metaphorically ""impinging"" on other entities (in terms of derivative similarity, control, etc.), as in the following: 'that led to Dolce and Gabbana to base their autumn/winter D and G collection around her style in 2008' 'But he discovered that the literary world was a battlefieldâ€” mined with hatred, rimmed with snipers. ' 'Countless legends sprung up around the knight.'  Common abstract entities that serve as Figure include emotions ('the hopelessness surrounding them'), as well as theories, arguments, and collective philosophies ('Ageism surrounds us, but passes largely unnoticed').  This metaphor arises from the normal invited implicature of this frame that the Figure may physically impinge on the Ground, either protecting it, or limiting its motion, or even supporting it.","An event or state where a Figure partially or completely encompasses, covers, or encircles a Ground, either physically or metaphorically, influencing its spatial or conceptual context.",cumulative,homeomeric,durative,non-agentive
Suspicion,Suspicion,"[Suspicion] A person or group, the Authority, believes that another person, the Suspect is a participant in a criminal Incident.  'The police suspect Noah Rogers of aiding the robbery last night at Shop-n-drive.'",An event where an Authority or individual forms a belief that a person may have participated in a criminal or wrongful incident.,anti-cumulative,homeomeric,atomic,agentive
Telling ,Telling,"[Telling] A Speaker addresses an Addressee with a Message, which may be indirectly referred to as a Topic. Instead of (or in addition to) a Speaker, a Medium may also be mentioned.  'I told him about the party.'","An event where a Speaker communicates a Message to an Addressee, possibly through a Medium, either directly or indirectly referencing the Topic.",cumulative,anti-homeomeric,durative,agentive
Temporary stay,Temporary stay,"[Temporary_stay] A Guest stays for a time at a Location, which is not his or her permanent residence, for some Duration. The Location is often the permanent residence of a Host.  'I usually stay with my aunt at her summer house when I go to Seville.'  'For a few days my father lodged at a hotel with a buddy who was a biology student.'","An event where a Guest temporarily resides at a Location that is not their permanent home, typically for a limited Duration.",cumulative,homeomeric,durative,agentive
Terrorism,Terrorism,"[Terrorism] A Terrorist commits a violent or otherwise harmful Act upon a Victim in order to coerce or terrorize a government or populace. The Act may be committed in particular for political or ideological reasons, and is often directed at civilians, as opposed to government or military officials. It is most often in violation of one or many laws.  'Their terrorism against civilians will not be tolerated.'","An agent deliberately commits a harmful act against victims to instill fear and coerce a larger group, often for political or ideological purposes.",anti-cumulative,anti-homeomeric,durative,agentive
Writing,Text creation,"[Text_creation] An Author creates a Text, either written, such as a letter, or spoken, such as a speech,  that contains meaningful linguistic tokens, and may have a particular Addressee in mind.  The Text may include information about its topic, although the latter is not an FE in this frame.  'I penned a letter concerning racism  to Congress.' 'The brothers said not two words to each other.' 'Jot any notes you need below the line in red pen only.'","An event where an Author produces a Text, either written or spoken, consisting of meaningful linguistic content, often directed toward an Addressee.",cumulative,anti-homeomeric,durative,agentive
Theft,Theft,[Theft] These are words describing situations in which a Perpetrator takes Goods from a  Victim or a Source. The Means by which this is accomplished may also be expressed.  'I can't believe he pickpocketed my gold watch !' 'I had to pilfer from the office just to get by . INI' 'Snatching purses from little old ladies is not a living . CNI'   ,"A perpetrator unlawfully takes goods from a victim or source, typically without consent and often using specific means.",anti-cumulative,anti-homeomeric,durative,agentive
Use firearm,Use firearm,"[Use_firearm] An Agent causes a Firearm to discharge, usually directing the projectile from the barrel of the Firearm (the Source), along a Path, and to a Goal. 'The Germans wouldn't stop shooting cannons at them.' 'Oswald fired twice through the window.'","An event where an Agent intentionally discharges a firearm, propelling a projectile from a Source along a directed Path toward a Goal.",anti-cumulative,homeomeric,atomic,agentive
Using,Using,"[Using] An Agent manipulates an Instrument in order to achieve a Purpose.  'For cold conditions, we recommend that you use a heat gun or a hair dryer to make the adhesive work better. '",An event where an Agent purposefully manipulates or applies an Instrument to achieve a specific goal or accomplish a task.,anti-cumulative,anti-homeomeric,durative,agentive
Check ,Verification,"[Verification] An Inspector attains a degree of certainty in the Unconfirmed_content, generally by inspecting some evidence.  'This note confirms my suspicions.'","An Inspector attains a degree of certainty in the Unconfirmed_content, generally by inspecting some evidence.",anti-cumulative,homeomeric,atomic,agentive
Violence,Violence,"[Violence] The words in this frame describe acts (or situations characterized by acts) that cause injury or harm. The acts may involve an Aggressor or Cause injuring a Victim, or Aggressors causing each other harm.  'Research on whether concealed carry laws increase gun violence among gang members has been inconclusive.'  'They committed brutality against innocent civilians.'  'The storm's violence last week came without warning and caused unprecedented damage to costal regions.'","An act or situation where an Aggressor or Cause inflicts injury, harm, or destructive force upon a Victim or target.",cumulative,anti-homeomeric,durative,non-agentive
Traveling,"Visiting, Touring, Travel","[Visiting] An Agent matches location with an Entity in order to fulfill some  Purpose.  Quite often, the Purpose is social- or entertainment-oriented.  'I ca n't remember how many times he visited ! DNI' 'Now she was on an inspection visit .' 'You have to visit your parents every once in a while .'
[Touring] A Tourist experiences an Attraction, a location with a unique history or other societally recognized individual character, with the goal of seeing and learning about it. Typically, the Attraction has a source of information about the Attraction--a guide, pamphlets, or displays.  'We toured the Grand Canyon.' 
[Travel] In this frame a Traveler goes on a journey, an activity, generally planned in advance, in which the Traveler moves from a Source location to a Goal along a Path or within an Area.  The journey can be accompanied by Co-participants and Baggage.  The Duration or Distance of the journey, both generally long, may also be described as may be the Mode_of_transportation.  Words in this frame emphasize the whole process of getting from one place to another, rather than profiling merely the beginning or the end of the journey. 'Ellen journeyed to Europe with five suitcases.' 'Samantha journeyed 2500 miles with her family by sea to China.''The Osbournes took a trip from Beverly Hills to London on the Concorde.'","An event where an Agent moves to and/or experiences a location, typically to fulfill a purpose such as exploration, learning, inspection, or social engagement.",cumulative,anti-homeomeric,durative,agentive
Departing,"Visitor departure, Setting out,
Disembarking, Visit host departure,
Visiting scenario departing, Departing","[Visitor_departure] After a visit is complete, the Agent departs the Source, normally bound for their normal haunts.
[Setting_out] A Self_mover begins a journey at a Source location, in a particular Directiongenerally setting out with an Intended_goal in mind.  'At about 1:00 in the morning, climbers set out for the summit.' 'The expedition set out from Granada early in March, leaving only one hundred men to garrison the fort which overlooks the city.' 'After that the earl set out south with his host, and Kari went with him, and Njal's sons too.'
[Disembarking] A Traveller leaves from or dismounts a Vehicle.  'The passengers disembarked in Southampton.'  'They then informed the passengers that, if the aircraft were to leave the runway, they would likely be deplaning through the rear cabin doors.'
[Visit_host_departure] A Visitor departs from a Host_location after having visited a Host.
[Visiting_scenario_departing] An Agent departs from the Source, normally bound for their normal location. This is a point-of-view-neutral conception of the departure.
[Departing] An object (the Theme) moves away from a Source. The Source may be expressed or it may be understood from context, but its existence is always implied by the departing word itself.   'The plane leaves at seven.DNI.'  'His departure from the dock was delayed by hundreds of tearful farewells.'  'We all exited the room slowly.'","An event where an Agent, Traveller, or Theme moves away from a Source location, marking the beginning of departure or transition from that point.",anti-cumulative,homeomeric,atomic,agentive
Vocalizations,Vocalizations,"[Vocalizations] This frame is concerned with the sounds produced by animate entities by means of their vocal tracts. Descriptions of sounds from artifacts meant to emulate such sounds, or to act as vocalizing animals or people, are also treated here as figurative language.  'He woke up because of the cries of the crows outside.'",An animate entity produces sound using its vocal system.,cumulative,anti-homeomeric,durative,agentive
Warning,Warning,"[Warning] A Speaker warns an Addressee by giving a Message that describes an undesirable situation that may affect the Addressee. The warning may alternatively be described as about Topic pertaining to the undesirable situation, or issued via a specific Medium.  'Jackson warned me that the weather could change quickly, but I guess I didn't really believe him.'  'We alerted officials about the possibility of containment failure as soon as we realized it could happen.'  'They issued the warning to only those with the highest security clearence. DNI'",A speaker communicates a message to an addressee about a potential undesirable situation that could affect them.,anti-cumulative,homeomeric,atomic,agentive
