EventType,Generic_Definition,Cumulativity,Homeomericity,TemporalExtent,Agentivity,CumulativityJustification,HomeomericityJustification,TemporalExtentJustification,AgentivityJustification
Renting,An event where a Lessee obtains temporary usage rights to Goods owned by a Lessor in exchange for payment.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of a lessee obtaining temporary usage rights cannot be combined into a larger whole that is still considered the same type of event, as each lease agreement is a distinct and separate occurrence.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the lessee selecting the goods, agreeing to the terms, making payment, and the lessor granting usage rights, which are not all instances of the same type.","The event is labeled 'durative' because the process of a lessee obtaining temporary usage rights to goods owned by a lessor in exchange for payment unfolds over time and can be segmented into distinct phases such as negotiation, agreement, payment, and usage.","The event is labeled 'agentive' because it involves intentional actions by both the Lessee (to obtain usage rights) and the Lessor (to provide goods for usage), each with a specific goal or purpose (usage of goods for the Lessee, receiving payment for the Lessor)."
Reporting,An event where an Informer communicates information about a Wrongdoer's improper or illegal behavior to the relevant Authorities.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of informing about a wrongdoer's behavior cannot be aggregated into a larger whole that is still considered the same instance of informing, as each act of informing is a distinct occurrence.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the Informer acquiring knowledge of the wrongdoing, deciding to report it, and then communicating the information to the Authorities, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including the informer learning about the wrongdoing, deciding to report it, and then communicating this information to the authorities, which are distinct stages.",The event is labeled 'agentive' because it involves the Informer intentionally initiating the action of communicating information about the Wrongdoer's behavior to the Authorities with a specific goal or purpose.
Expressing publicly ,A Speaker communicates a desire or need for an Addressee to provide something or to perform a certain action.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of communication is distinct and cannot be combined into a larger whole that still represents the same specific desire or need.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker expressing a desire or need and the addressee responding by providing something or performing an action, which are not instances of the same type.","The event is labeled 'durative' because the process of communication, which includes expressing a desire or need and the addressee understanding and responding to it, unfolds over time and can be divided into distinct stages.","The event is labeled 'agentive' because the Speaker intentionally initiates the communication with a specific goal or purpose, which is to express a desire or need to the Addressee."
Rescuing,"An event where an Agent intervenes to save a Patient or an Asset from a Harmful Situation, preventing or mitigating negative outcomes.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of an agent intervening to save a patient or an asset from a harmful situation is a distinct occurrence and cannot be aggregated into a larger whole while still maintaining the same event type.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the recognition of a harmful situation, the decision to intervene, and the actual intervention to save the patient or asset, which are not all instances of the same type.","The event is labeled 'durative' because the act of intervening to save someone or something from a harmful situation typically involves a process that unfolds over time, with distinct stages such as recognizing the danger, planning the intervention, and executing the rescue.","The event is labeled 'agentive' because it involves an intentional, goal-directed action initiated by an agent to prevent or mitigate negative outcomes."
Resolve problem,"A problem is solved, either through an agents deliberate action or by some non-agentive cause.",anti-cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'anti-cumulative' because solving multiple problems does not aggregate into a larger instance of 'solving a problem'; each problem solved is a distinct, separate event.","The event is labeled 'anti-homeomeric' because the process of solving a problem involves various subactivities that may not all be classified as 'solving a problem', such as identifying the problem, brainstorming solutions, implementing a solution, and evaluating the results.","The event is labeled 'durative' because solving a problem typically involves a process that extends over time, with distinct stages such as identifying the problem, developing a strategy, implementing the solution, and verifying its effectiveness.","The event is labeled 'non-agentive' because the problem can be solved either through an agent's intentional action or by a cause that does not involve goal-directed initiation, indicating that the event does not necessarily require an agent's purposeful intervention."
Response,An event where an Agent or Responding Entity performs an action as a consequence of a preceding Trigger event or Proposal.,anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because the action performed by the Agent or Responding Entity in response to a preceding Trigger event or Proposal is unique and cannot be aggregated with other instances without losing its specific context and identity.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities, such as the preceding trigger event and the subsequent action performed by the agent, which are not instances of the same type.","The event is labeled 'durative' because it involves a sequence of actions (a response to a trigger event or proposal) that unfold over time, indicating that it has distinct phases or stages.","The event is labeled 'agentive' because it involves an Agent or Responding Entity intentionally performing an action in response to a preceding Trigger event or Proposal, indicating a clear goal or purpose."
Reveal secret,"An event where a Speaker discloses previously hidden or confidential Information to an Addressee, making it accessible or known.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the act of disclosing information is unique to each instance and cannot be aggregated into a larger whole while still maintaining the same type of event, as each disclosure involves different information and context.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker preparing the information, the act of disclosing, and the addressee receiving and processing the information, which are not all instances of the same type.","The event is labeled 'durative' because the process of disclosing information involves several stages, such as the decision to disclose, the actual act of disclosure, and the reception and understanding of the information by the addressee, all of which unfold over time.",The event is labeled 'agentive' because the act of disclosing previously hidden or confidential information is an intentional action initiated by the speaker with the specific goal of making the information known to the addressee.
Revenge,"An agent deliberately inflicts punishment on an offender in response to a perceived past wrongdoing, based on personal or collective judgment rather than formal law.
",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of punishment inflicted on an offender cannot be aggregated into a larger whole that is still considered the same instance of punishment, as each act of punishment is distinct and separate.","The event is labeled 'anti-homeomeric' because the process of inflicting punishment involves distinct subactivities such as the perception of wrongdoing, judgment, and the act of punishment, which are not all instances of the same type.","The event is labeled 'durative' because the process of an agent deliberately inflicting punishment on an offender involves multiple stages, such as the perception of the wrongdoing, the judgment of the act, and the actual infliction of the punishment, which unfold over time.",The event is labeled 'agentive' because it involves a deliberate action initiated by an agent (the person inflicting punishment) with a specific goal (to respond to a perceived past wrongdoing).
Rite,"An event or activity where individuals perform ritualistic actions following religious, spiritual, or traditional beliefs.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of individuals performing ritualistic actions is unique and distinct, and cannot be aggregated into a larger whole without losing its specific religious, spiritual, or traditional context.","The event is labeled 'anti-homeomeric' because it involves a sequence of diverse subactivities (like singing, praying, reading scriptures, etc.) that are not all instances of the same type.","The event is labeled 'durative' because performing ritualistic actions following religious, spiritual, or traditional beliefs typically involves a sequence of actions or stages that unfold over a period of time.","The event is labeled 'agentive' because it involves individuals intentionally performing ritualistic actions driven by their religious, spiritual, or traditional beliefs."
Robbery ,"An event where a Perpetrator wrongs a Victim by forcefully or threateningly taking Goods from them, emphasizing harm to the Victim and the removal of Goods from a Source location.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of a perpetrator wronging a victim by forcefully taking goods cannot be combined into a larger instance of the same event type without changing the identity of the event, as each instance is a distinct occurrence with unique participants and circumstances.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the Perpetrator threatening the Victim, the actual act of taking the Goods, and the removal of Goods from the Source location, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a sequence of actions that unfold over time, including the perpetrator wronging the victim, the act of forcefully or threateningly taking goods, and the removal of goods from a source location.","The event is labeled 'agentive' because it involves a Perpetrator intentionally initiating an action with a specific goal, which is to forcefully or threateningly take Goods from a Victim."
Scouring,An event where a Searcher thoroughly examines a Ground in an effort to locate a potentially existing Sought_entity.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because combining two or more distinct instances of searching does not create a larger instance of the same type, as each search is unique and specific to the entity being sought and the ground being examined.","The event is labeled 'anti-homeomeric' because the process of searching involves different subactivities such as planning the search, scanning the area, identifying potential finds, and verifying the sought entity, which are not all instances of the same type.","The event is labeled 'durative' because the process of thoroughly examining a ground to locate a potentially existing entity inherently involves an unfolding sequence of actions over a period of time, which can be divided into distinct stages such as initiating the search, conducting the search, and concluding the search.","The event is labeled 'agentive' because it involves a Searcher (the agent) intentionally and purposefully examining a Ground to locate a Sought_entity, indicating a clear goal or purpose."
Self motion,"An event where a living being or entity initiates and controls its own movement along a path, toward a goal, or within an area, using its own means of locomotion.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of a being initiating and controlling its own movement can be combined into a larger instance of the same event type, such as a journey or a migration.","The event is labeled 'anti-homeomeric' because the movement of a living being or entity involves various subactivities such as initiation, control, and locomotion, which are structurally distinct and not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, with the entity initiating, controlling, and completing its movement, which can be segmented into distinct stages such as starting, moving, and reaching the goal.","The event is labeled 'agentive' because it involves a living being or entity intentionally initiating and controlling its own movement towards a specific goal, demonstrating clear intent and purpose."
Sending,"An agent causes a theme to move from a source to a goal, transferring possession or accessibility to a recipient.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because combining two instances of this event, such as two separate transfers of possession, does not result in a larger instance of the same event type, but rather two distinct events.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as causing a theme to move, transferring possession or accessibility, which are not instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including stages such as the initiation of the transfer, the movement of the theme, and the final receipt of the theme.",The event is labeled 'agentive' because it involves an intentional action initiated by an agent with a specific goal of causing a theme to move from a source to a recipient.
Commerce buy,"An event where a Buyer or Shopper seeks or obtains Goods through a commercial transaction, typically involving the exchange of Money with a Seller.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of a buyer obtaining goods through a commercial transaction is a distinct event and cannot be aggregated into a larger whole that is still considered the same type of event.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as seeking goods, negotiating price, and exchanging money, which are not all instances of the same type of event.","The event is labeled 'durative' because the process of a buyer seeking or obtaining goods through a commercial transaction involves multiple stages, such as searching for the product, negotiating the price, and completing the payment, which unfold over a period of time.",The event is labeled 'agentive' because it involves a buyer or shopper intentionally initiating a commercial transaction with a specific goal of obtaining goods.
Sign agreement,An event where a Signatory formally accepts and commits to the terms of an Agreement by signing a document.,anti-cumulative,anti-homeomeric,atomic,agentive,The event is labeled 'anti-cumulative' because signing a document is a distinct action and multiple instances of signing cannot be aggregated into a larger whole that is still considered the same instance of signing a document.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as reading the agreement, deciding to accept the terms, and physically signing the document, which are not all instances of the same type.",The event is labeled 'atomic' because the act of signing a document is considered an instantaneous action that doesn't unfold over time or have distinct phases.,The event is labeled 'agentive' because it involves a signatory intentionally initiating the action of signing a document with the specific goal of accepting and committing to the terms of an agreement.
Social event,"An event where individuals or groups gather to engage in social interaction, either as separate participants or as a collective, often centered around a specific function, celebration, or shared purpose.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of social interactions, such as parties or meetings, can be aggregated into a larger social event, like a festival or conference, which is still an instance of the same type of event.","The event is labeled 'anti-homeomeric' because it involves various subactivities and stages (such as arrival, interaction, celebration, departure) that are not all instances of the same type.","The event is labeled 'durative' because social gatherings typically extend over a period of time and can be divided into different stages such as arrival, interaction, and departure.",The event is labeled 'agentive' because it involves intentional initiation by individuals or groups with a specific goal or purpose of social interaction and engagement.
Connect,"An event or state where a Figure entity is in physical or metaphorical contact with a Ground entity, with or without support, and possibly involving attachment through a connector or maintained positioning.",cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because multiple instances of a Figure entity being in contact with a Ground entity can be aggregated into a larger whole that still represents the same type of event, such as multiple objects being stacked on top of each other.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as physical or metaphorical contact, possible attachment through a connector, or maintained positioning, which may not all be instances of the same event type.","The event is labeled 'durative' because it involves a state of being in contact, which extends over time and can potentially be divided into different stages such as initiation of contact, maintenance of contact, and termination of contact.","The event is labeled 'non-agentive' because while it involves intentional action (the Figure entity coming into contact with the Ground entity), it does not necessarily require goal-directed initiation, as the contact or attachment could also occur naturally or accidentally."
Expressing publicly ,"An event where a Speaker or Communicator addresses an Audience by sharing a Topic or previously unexpressed Content, typically in a formal or public setting.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of a speaker addressing an audience cannot be combined into a larger instance of the same event type, as each speech or communication is unique and distinct in its content and context.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker preparing the speech, delivering the speech, and the audience receiving and interpreting the speech, which are not all instances of the same type.","The event is labeled 'durative' because the act of addressing an audience and sharing a topic or content inherently unfolds over time and can be divided into stages such as introduction, body of the speech, and conclusion.",The event is labeled 'agentive' because it involves a Speaker or Communicator intentionally initiating the action of addressing an Audience with a specific goal of sharing a Topic or previously unexpressed Content.
Statement,"An event where a Speaker communicates information or asserts ownership over something, typically using language or symbolic acts directed toward an audience.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of communication or assertion of ownership cannot be combined into a larger instance of the same type, as each instance is unique and context-specific.","The event is labeled 'anti-homeomeric' because the act of communication involves various subactivities such as thinking, speaking, and gesturing, which are not all instances of the same type as the overall event of communication.","The event is labeled 'durative' because the act of communication or assertion of ownership typically involves a process that unfolds over time, with distinct phases such as formulating thoughts, expressing them, and ensuring the audience understands.","The event is labeled 'agentive' because it involves a Speaker intentionally initiating communication or assertion of ownership, which is a goal-directed action."
Convincing,"An event where a Speaker attempts to influence an Addressee to adopt a belief, form an intention, or agree to a course of action, whether or not the Addressee ultimately acts on it.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each individual instance of a speaker attempting to influence an addressee is a distinct event and cannot be aggregated into a larger whole that is still an instance of the same type of event.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker's attempt to influence, the addressee's process of considering the influence, and the potential adoption or rejection of the belief or action, which are not all instances of the same type.","The event is labeled 'durative' because the process of influencing someone to adopt a belief, form an intention, or agree to a course of action typically unfolds over time and can be divided into different stages such as persuasion, negotiation, and acceptance.","The event is labeled 'agentive' because it involves a Speaker intentionally initiating an action with the specific goal of influencing the Addressee's beliefs, intentions, or actions."
Submitting documents,"An individual provides documents to an authority for official evaluation, processing, or consideration.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of providing documents to an authority for official evaluation, processing, or consideration is a distinct event and cannot be aggregated into a larger whole that is still considered the same type of event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as gathering documents, submitting them to the authority, and the authority's evaluation, which are not all instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, including stages such as gathering documents, submitting them to the authority, and the authority's evaluation and processing of the documents.","The event is labeled 'agentive' because it involves an individual intentionally initiating the action of providing documents to an authority with a specific purpose or goal, such as evaluation or processing."
Supply,An event where a Supplier provides something (a Theme) to a Recipient to meet a specific need or serve a particular purpose.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of a supplier providing something to a recipient cannot be combined into a larger whole that still represents the same specific act of supplying, as each instance is unique and serves a distinct purpose or need.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the supplier preparing the item, the act of providing the item, and the recipient receiving the item, which are not all instances of the same type.","The event is labeled 'durative' because the process of a supplier providing something to a recipient involves several stages such as identifying the need, preparing the item, and delivering it, which unfold over a certain period of time.",The event is labeled 'agentive' because it involves a Supplier intentionally initiating the action of providing something to a Recipient with a specific goal or purpose.
Supporting,"An event where a Supporter provides material or abstract aid to reinforce, uphold, or strengthen the Supported entity.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of a supporter providing aid can be aggregated into a larger instance of the same event type, without losing the identity of the event.","The event is labeled 'anti-homeomeric' because the process of providing support can involve various distinct subactivities such as planning, executing, and evaluating, which may not all be instances of the same event type.","The event is labeled 'durative' because the act of providing support, whether material or abstract, is a process that unfolds over time and can be broken down into distinct stages or phases.",The event is labeled 'agentive' because it involves a Supporter intentionally initiating an action with the specific goal of providing aid to the Supported entity.
Surrendering,An event where an individual or entity willingly or under compulsion relinquishes themselves or a possession to an authority or recipient.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of relinquishment cannot be aggregated into a larger whole that is still considered an instance of the same type, as each act of relinquishment is a distinct and separate event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the decision to relinquish, the act of relinquishing, and the acceptance by the authority or recipient, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, such as the decision to relinquish, the act of relinquishing, and the receipt by the authority or recipient, which can be segmented into distinct stages.","The event is labeled 'agentive' because it involves an individual or entity intentionally initiating an action, either willingly or under compulsion, to relinquish themselves or a possession to an authority or recipient."
Surrounding,"An event or state where a Figure partially or completely encompasses, covers, or encircles a Ground, either physically or metaphorically, influencing its spatial or conceptual context.",cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'cumulative' because multiple instances of encompassing, covering, or encircling can be combined into a larger whole that still represents the same type of event, without losing its identity.","The event is labeled 'anti-homeomeric' because it involves a complex process with distinct subactivities, such as the Figure encompassing the Ground and subsequently influencing its context, which may not all be instances of the same event type.","The event is labeled 'durative' because it describes a process that unfolds over time, with the Figure gradually encompassing, covering, or encircling the Ground, which can be segmented into distinct stages or phases.","The event is labeled 'non-agentive' because while it involves action (encompassing, covering, or encircling), it does not necessarily require a purposeful, goal-directed initiation by an agent and can occur naturally or incidentally."
Suspicion,An event where an Authority or individual forms a belief that a person may have participated in a criminal or wrongful incident.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because forming a belief about a person's involvement in multiple distinct criminal incidents does not aggregate into a larger instance of the same event, each belief formation is a separate and distinct event.","The event is labeled 'anti-homeomeric' because the process of forming a belief involves various distinct subactivities such as gathering information, analyzing evidence, and making judgments, which are not all instances of the same type as the overall event.","The event is labeled 'durative' because the process of forming a belief that a person may have participated in a criminal or wrongful incident typically unfolds over time, involving various stages such as gathering evidence, analyzing information, and drawing conclusions.","The event is labeled 'agentive' because it involves an authority or individual intentionally forming a belief or making a judgment about a person's involvement in a criminal or wrongful incident, which is a goal-directed action."
Telling ,"An event where a Speaker communicates a Message to an Addressee, possibly through a Medium, either directly or indirectly referencing the Topic.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of communication cannot be merged into a single instance without losing the distinct content, context, and participants of each individual communication event.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker formulating the message, the transmission of the message through a medium, and the reception and interpretation of the message by the addressee, which are not all instances of the same type.","The event is labeled 'durative' because the process of communication, from the speaker formulating the message to the addressee receiving and understanding it, unfolds over time and can be divided into distinct stages.","The event is labeled 'agentive' because it involves a Speaker intentionally initiating communication with an Addressee about a specific Topic, indicating a clear purpose or goal."
Temporary stay,"An event where a Guest temporarily resides at a Location that is not their permanent home, typically for a limited Duration.",anti-cumulative,anti-homeomeric,durative,non-agentive,"The event is labeled 'anti-cumulative' because multiple instances of a guest staying at a location cannot be combined into a larger instance of the same event type, as each stay is a distinct occurrence.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as arrival, stay, and departure, which are not all instances of the same type of event.","The event is labeled 'durative' because it unfolds over a period of time, from the moment the guest arrives at the temporary location until they depart, which can be segmented into distinct phases such as arrival, stay, and departure.","The event is labeled 'non-agentive' because while it involves intentional action (the guest choosing to stay at a location), it does not necessarily require a goal-directed initiation, as the stay could be due to various reasons such as travel, work, or necessity, not all of which are purposeful or goal-oriented."
Terrorism,"An agent deliberately commits a harmful act against victims to instill fear and coerce a larger group, often for political or ideological purposes.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because each instance of this harmful act is distinct and cannot be aggregated into a larger whole without losing its unique identity, as each act is committed with specific intent, against specific victims, and for specific purposes.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as planning, executing the harmful act, and instilling fear, which are not all instances of the same type.","The event is labeled 'durative' because it involves a series of actions (committing a harmful act, instilling fear, coercing a larger group) that unfold over time, indicating that it has distinct phases or stages.","The event is labeled 'agentive' because it involves a deliberate and intentional act committed by an agent with a specific goal of instilling fear and coercing a larger group, often for political or ideological purposes."
Writing,"An event where an Author produces a Text, either written or spoken, consisting of meaningful linguistic content, often directed toward an Addressee.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the production of multiple distinct texts by an author does not aggregate into a larger instance of the same event type, as each text is a separate and unique creation.","The event is labeled 'anti-homeomeric' because the process of an author producing a text involves various distinct subactivities such as brainstorming, drafting, revising, and finalizing, which are not all instances of the same type of event.","The event is labeled 'durative' because the process of an author producing a text, whether written or spoken, extends over time and involves distinct stages such as conceptualizing, drafting, and finalizing the content.","The event is labeled 'agentive' because it involves an Author intentionally initiating the action of producing a Text with a specific goal of conveying meaningful linguistic content, often directed toward an Addressee."
Theft,"A perpetrator unlawfully takes goods from a victim or source, typically without consent and often using specific means.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of theft is a distinct act and cannot be aggregated into a larger whole that is still considered the same instance of theft.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as planning the theft, executing it, and escaping, which are not all instances of the same type of event.","The event is labeled 'durative' because the act of unlawfully taking goods involves a process that unfolds over time, potentially including stages such as planning, execution, and escape.","The event is labeled 'agentive' because it involves a perpetrator intentionally initiating the action of unlawfully taking goods, driven by a clear purpose or goal."
Use firearm,"An event where an Agent intentionally discharges a firearm, propelling a projectile from a Source along a directed Path toward a Goal.",anti-cumulative,anti-homeomeric,atomic,agentive,The event is labeled 'anti-cumulative' because multiple instances of discharging a firearm cannot be aggregated into a larger whole that is still considered a single instance of the same event type.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent's intention, the discharge of the firearm, and the propulsion of the projectile, which are not all instances of the same type.","The event is labeled 'atomic' because the act of discharging a firearm is considered instantaneous and indivisible, without any meaningful sub-intervals or stages that can be separately analyzed.",The event is labeled 'agentive' because it involves an agent (the person discharging the firearm) intentionally initiating an action (firing the projectile) with a specific goal (directing the projectile along a path toward a target).
Using,An event where an Agent purposefully manipulates or applies an Instrument to achieve a specific goal or accomplish a task.,anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the combination of multiple instances of an agent manipulating or applying an instrument does not necessarily result in a larger instance of the same type of event, as each manipulation or application is a distinct, non-overlapping action.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the agent's manipulation and the application of an instrument, which are not instances of the same type of event.","The event is labeled 'durative' because it involves a process that unfolds over time, where an agent uses an instrument to achieve a specific goal, which implies multiple stages or phases.","The event is labeled 'agentive' because it involves an agent intentionally using an instrument to achieve a specific goal or complete a task, indicating purposeful initiation and direction."
Check ,"An Inspector attains a degree of certainty in the Unconfirmed_content, generally by inspecting some evidence.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because the process of an inspector attaining certainty cannot be aggregated; each instance of inspection and the resulting certainty is a distinct, separate event.","The event is labeled 'anti-homeomeric' because the process of an Inspector attaining a degree of certainty involves different subactivities like gathering, analyzing, and interpreting evidence, which are not all instances of the same type.","The event is labeled 'durative' because the process of an inspector attaining certainty in unconfirmed content involves multiple stages, such as gathering, inspecting, and analyzing evidence, which unfolds over a period of time.",The event is labeled 'agentive' because it involves the Inspector intentionally initiating the action of inspecting evidence with the specific goal of attaining a degree of certainty in the Unconfirmed_content.
Violence,"An act or situation where an Aggressor or Cause inflicts injury, harm, or destructive force upon a Victim or target.",anti-cumulative,anti-homeomeric,durative,agentive,The event is labeled 'anti-cumulative' because each instance of harm or injury inflicted upon a victim is a distinct occurrence and cannot be aggregated into a larger whole without losing its individual identity.,"The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the initiation of aggression, the act of inflicting harm, and the reception of harm by the victim, which are not all instances of the same type.","The event is labeled 'durative' because the act of inflicting injury, harm, or destructive force typically unfolds over time and can be segmented into distinct phases such as initiation, execution, and aftermath.","The event is labeled 'agentive' because it involves an Aggressor or Cause intentionally inflicting injury, harm, or destructive force upon a Victim or target, indicating a clear purpose or goal."
Traveling,"An event where an Agent moves to and/or experiences a location, typically to fulfill a purpose such as exploration, learning, inspection, or social engagement.",cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of an agent moving to or experiencing a location can be combined into a larger instance of the same type, such as a series of movements or experiences, without losing the identity of the event type.","The event is labeled 'anti-homeomeric' because it involves multiple distinct subactivities such as moving, experiencing a location, and fulfilling a purpose, which are not all instances of the same type.","The event is labeled 'durative' because it involves a process that unfolds over time, including stages such as the agent's movement, arrival at the location, and the subsequent experiences or activities at the location.","The event is labeled 'agentive' because it involves an agent intentionally moving to a location with a specific purpose such as exploration, learning, inspection, or social engagement."
Departing,"An event where an Agent, Traveller, or Theme moves away from a Source location, marking the beginning of departure or transition from that point.",anti-cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'anti-cumulative' because multiple instances of departure from a location cannot be combined into a larger instance of the same event type, as each departure is a distinct, non-overlapping occurrence.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the decision to move, the actual movement, and the departure from the source location, which are not all instances of the same type.","The event is labeled 'durative' because the process of moving away from a source location involves a progression over time and can be divided into different stages such as the decision to leave, the actual departure, and the journey away from the source.","The event is labeled 'agentive' because it involves an agent (a person or entity) intentionally initiating a movement or departure from a source location, indicating a clear goal or purpose."
Vocalizations,An animate entity produces sound using its vocal system.,cumulative,homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of an animate entity producing sound using its vocal system, such as a person singing multiple notes, can be aggregated into a larger whole, like a song, which is still an instance of the same type of event.","The event is labeled 'homeomeric' because every temporal part of the event, from the beginning to the end, involves the same type of action, which is an animate entity producing sound using its vocal system.","The event is labeled 'durative' because the process of an animate entity producing sound using its vocal system involves a sequence of actions that unfold over time, such as inhaling, vocal cord vibration, and sound projection, which can be segmented into distinct phases.","The event is labeled 'agentive' because it involves an animate entity intentionally using its vocal system to produce sound, indicating a clear goal or purpose."
Warning,A speaker communicates a message to an addressee about a potential undesirable situation that could affect them.,cumulative,anti-homeomeric,durative,agentive,"The event is labeled 'cumulative' because multiple instances of a speaker communicating a message about a potential undesirable situation can be aggregated into a larger conversation or communication event, which is still an instance of the same type.","The event is labeled 'anti-homeomeric' because it involves distinct subactivities such as the speaker formulating the message, the act of communication, and the addressee receiving and understanding the message, which are not all instances of the same type.","The event is labeled 'durative' because the process of communication unfolds over time and can be divided into distinct stages such as the formulation of the message, the delivery of the message, and the reception and understanding of the message by the addressee.",The event is labeled 'agentive' because the speaker intentionally initiates the communication with a specific goal of informing the addressee about a potential undesirable situation.
